Serial No.,Date,Product ID,Demand,Inventory
137,2022-07-18 13:54:59.729972996,49,588,36
138,2023-04-19 09:06:14.797479744,92,944,975
139,2022-12-20 15:32:12.313231324,82,896,730
140,2023-07-16 22:29:33.537353736,75,221,779
141,2022-01-30 17:08:07.128712871,35,420,387
142,2022-03-01 17:16:45.580558056,50,2,847
143,2022-07-19 09:11:25.868586858,44,729,201
144,2022-08-20 15:39:07.074707472,97,310,82
145,2023-09-13 16:59:37.317731768,91,362,504
146,2022-05-27 16:07:12.043204320,71,986,975
147,2022-11-08 19:32:25.274527452,73,81,984
148,2023-08-26 03:56:28.298829880,81,456,908
149,2022-11-17 03:17:17.983798380,66,557,592
150,2023-09-15 11:02:45.256525648,17,628,707
151,2022-07-22 12:32:02.592259226,66,773,838
152,2023-01-26 03:37:27.704770476,13,356,595
153,2022-12-17 01:40:48.604860484,62,659,510
154,2023-02-02 10:50:30.783078308,3,13,339
155,2022-08-13 22:27:06.642664264,48,249,824
156,2023-01-26 07:07:43.366336632,83,564,320
157,2022-01-21 03:36:01.296129613,59,679,659
158,2023-11-15 06:36:28.298829880,30,254,219
159,2022-02-12 04:45:26.192619262,55,931,588
160,2023-03-19 01:25:15.391539152,93,286,314
161,2023-10-27 00:02:00.972097208,96,350,18
162,2022-01-30 04:52:12.313231323,17,918,957
163,2023-09-09 18:22:34.455445544,96,171,839
164,2022-06-05 15:38:15.229522952,75,145,74
165,2023-12-04 23:41:42.610261024,82,436,57
166,2022-12-11 10:45:45.634563456,62,242,400
167,2023-11-18 08:11:57.191719168,91,214,648
168,2023-12-31 16:59:28.676867688,95,962,876
169,2022-08-16 10:01:32.889288928,62,775,358
170,2023-04-12 15:54:14.365436544,22,856,270
171,2022-06-06 23:10:36.183618362,15,825,384
172,2022-09-23 03:54:01.404140412,72,81,599
173,2022-06-05 08:37:43.906390638,11,88,326
174,2022-09-03 21:19:34.077407740,86,182,939
175,2023-07-05 02:38:24.950495048,98,811,779
176,2022-11-22 05:56:26.138613860,14,478,781
177,2022-05-09 08:19:26.516651664,91,563,495
178,2023-07-11 09:19:38.397839784,83,571,354
179,2023-10-22 06:08:31.971197120,59,844,838
180,2022-04-23 06:50:43.744374438,31,61,645
181,2022-04-21 02:16:48.820882088,71,652,314
182,2023-04-05 20:57:06.102610256,27,804,169
183,2022-03-30 01:07:23.924392439,45,564,203
184,2022-07-10 21:56:17.497749774,3,85,258
185,2023-12-09 01:49:01.134113408,72,519,75
186,2023-04-29 14:24:31.107110712,45,990,318
187,2022-11-29 04:23:50.063006300,16,100,434
188,2023-09-08 02:04:34.347434744,98,124,50
189,2023-02-28 08:51:50.711071104,49,988,252
190,2022-12-01 08:57:44.986498648,89,72,223
191,2022-01-26 20:16:12.097209721,90,333,702
192,2022-08-13 01:25:32.673267328,86,642,374
193,2023-06-23 08:32:24.194419440,84,565,70
194,2022-09-07 09:25:49.954995500,26,587,398
195,2022-08-04 05:24:45.148514852,86,458,263
196,2022-11-05 23:12:19.873987396,48,171,975
197,2023-11-22 08:34:07.884788480,71,678,83
198,2022-01-02 04:02:05.292529252,68,649,252
199,2023-08-26 19:42:38.775877584,23,528,979
200,2023-06-11 19:41:46.930693064,41,986,278
201,2023-04-09 02:02:50.657065704,3,911,191
202,2022-07-16 02:20:33.483348334,14,234,35
203,2023-08-16 10:54:06.804680464,47,95,540
204,2023-01-26 22:53:53.843384336,79,225,4
205,2022-03-13 06:07:22.844284428,56,57,422
206,2023-07-15 04:26:25.598559856,86,17,375
207,2022-04-19 22:14:43.528352834,51,856,681
208,2022-11-07 01:29:17.335733572,83,985,481
209,2023-04-10 21:51:06.426642664,53,244,264
210,2023-06-29 20:29:01.134113408,89,423,417
211,2022-01-14 10:24:00.864086408,10,493,788
212,2023-01-05 02:59:52.439243924,87,748,185
213,2022-12-16 02:54:06.804680468,66,519,977
214,2022-03-15 22:57:12.583258326,55,640,201
215,2023-11-13 05:32:49.036903688,52,752,657
216,2023-01-29 05:12:56.597659764,81,940,42
217,2022-05-26 03:19:27.596759676,43,282,498
218,2023-07-21 00:36:52.061206120,52,781,693
219,2022-03-22 03:53:18.199819982,13,827,494
220,2022-03-10 11:32:25.274527453,21,790,152
221,2022-09-15 03:09:40.018001800,4,421,448
222,2022-05-08 14:48:08.208820882,37,84,475
223,2023-11-11 07:59:25.436543656,12,734,404
224,2022-02-07 21:22:44.176417641,65,663,261
225,2023-06-15 02:32:39.315931592,18,556,420
226,2023-12-16 21:17:59.027902792,63,70,609
227,2022-01-30 08:22:27.974797479,35,792,718
228,2022-08-11 19:38:19.549954996,28,584,544
229,2022-12-24 22:54:54.329432944,32,212,356
230,2022-07-11 18:57:51.467146714,18,448,403
231,2022-11-05 23:12:19.873987396,59,875,29
232,2022-11-21 08:54:52.169216920,29,749,560
233,2022-02-23 15:50:55.625562556,83,160,955
234,2023-02-16 13:00:42.124212420,3,874,702
235,2023-12-08 17:03:21.980198016,31,222,266
236,2023-10-01 16:01:43.690369032,38,947,511
237,2022-08-05 04:11:26.948694868,69,680,623
238,2023-03-23 05:17:41.746174616,4,76,438
239,2022-08-04 03:39:37.317731772,65,259,578
240,2022-08-11 03:52:09.072907292,19,933,160
241,2022-05-18 23:36:40.180018002,21,881,201
242,2022-07-03 12:58:06.588658866,65,765,678
243,2023-08-12 07:01:40.450045000,56,961,554
244,2023-03-30 00:14:50.009000896,35,995,691
245,2023-01-31 02:46:20.198019800,50,97,185
246,2023-05-07 04:38:05.508550856,88,242,79
247,2023-03-29 13:44:03.024302432,6,499,313
248,2022-11-05 19:42:04.212421240,35,894,659
249,2023-03-23 05:17:41.746174616,51,913,420
250,2022-03-03 18:20:24.842484248,23,488,40
251,2022-04-24 03:52:17.713771376,47,809,851
252,2023-09-25 05:50:14.581458144,4,505,270
253,2023-05-26 05:57:09.342934288,11,80,148
254,2022-09-24 02:40:43.204320432,17,959,933
255,2023-03-08 13:06:27.758775880,39,677,12
256,2023-04-22 08:56:35.859585960,71,58,849
257,2023-09-29 06:12:25.274527448,56,656,199
258,2023-08-16 23:10:01.620162016,20,582,127
259,2023-12-13 12:41:58.811881184,66,95,553
260,2023-09-10 18:54:24.086408640,7,960,163
261,2022-09-21 02:50:22.142214220,49,654,622
262,2022-02-25 23:55:06.210621062,64,8,119
263,2023-06-20 20:57:57.947794776,38,98,857
264,2023-05-30 13:19:51.359135912,29,245,429
265,2022-08-19 08:06:46.120612060,57,537,212
266,2023-05-16 19:55:19.171917192,85,675,544
267,2023-01-25 11:51:17.227722772,89,809,614
268,2022-10-31 20:33:11.719171916,54,369,121
269,2023-09-24 21:04:35.427542752,52,249,173
270,2023-12-04 06:10:24.302430240,26,665,838
271,2023-07-01 07:31:37.749774976,3,545,187
272,2022-10-27 07:55:06.210621060,17,938,965
273,2023-07-25 20:15:28.892889288,2,777,328
274,2023-08-09 12:26:42.880288024,29,986,779
275,2022-09-12 15:35:13.771377136,53,911,691
276,2023-09-24 00:03:01.458145816,49,489,972
277,2023-07-02 11:33:43.042304232,71,517,143
278,2023-02-19 11:05:55.355535552,11,495,263
279,2023-10-26 10:00:58.325832584,24,993,687
280,2022-07-10 09:40:22.682268226,48,706,147
281,2023-06-12 09:42:49.576957696,35,640,516
282,2022-06-14 23:54:57.569756976,52,879,529
283,2023-12-18 13:35:59.135913592,59,243,282
284,2022-04-11 16:14:58.649864986,21,678,650
285,2022-09-08 01:12:00.432043204,16,592,564
286,2023-06-11 03:55:36.453645360,23,982,641
287,2023-01-16 03:34:34.887488748,64,588,453
288,2023-05-23 00:51:24.788478848,72,885,113
289,2022-04-12 09:46:16.957695769,97,487,440
290,2023-07-30 05:23:18.739873984,9,948,787
291,2023-08-12 03:31:24.788478848,62,179,851
292,2023-02-08 07:00:57.245724572,6,727,576
293,2022-01-19 00:47:14.203420342,39,359,858
294,2023-10-03 01:19:12.475247520,34,146,696
295,2022-05-09 08:19:26.516651664,2,744,172
296,2022-01-10 20:32:37.155715571,5,590,638
297,2023-08-18 08:27:30.405040504,86,374,561
298,2023-07-29 01:21:13.447344736,31,584,815
299,2023-09-26 02:51:48.550855080,52,901,430
300,2023-05-31 06:51:09.666966696,33,704,741
301,2022-05-16 13:47:21.764176418,73,219,818
302,2023-12-26 07:19:49.198919888,35,5,718
303,2023-06-01 03:52:43.636363632,63,431,84
304,2022-12-03 17:01:55.571557156,89,434,601
305,2022-04-30 12:18:38.991899190,62,825,755
306,2022-08-11 02:07:01.242124212,1,26,75
307,2023-05-27 22:15:09.450945096,65,982,572
308,2023-09-04 10:28:02.808280824,40,164,500
309,2022-03-20 04:34:46.768676867,88,995,940
310,2022-01-03 09:49:18.415841584,62,433,163
311,2022-03-03 16:35:17.011701170,36,812,615
312,2022-08-01 19:35:26.732673268,21,596,65
313,2023-12-17 09:33:53.843384336,23,877,296
314,2022-05-06 18:59:52.439243924,66,698,976
315,2023-10-11 05:33:49.522952296,27,757,784
316,2022-09-15 15:25:34.833483348,10,518,304
317,2022-09-27 09:31:35.589558956,62,299,580
318,2023-06-06 10:02:07.452745272,17,720,382
319,2022-01-29 21:51:40.990099010,58,318,405
320,2023-07-03 10:20:24.842484248,27,56,838
321,2022-10-29 07:13:37.641764176,35,615,144
322,2023-02-06 21:43:28.460846084,9,182,261
323,2023-04-18 20:50:19.981998200,91,773,661
324,2022-05-26 05:04:35.427542754,26,549,615
325,2022-11-16 08:00:51.845184516,40,871,409
326,2022-06-13 07:36:57.461746174,95,472,700
327,2022-12-24 12:24:07.344734472,42,525,631
328,2022-03-24 11:57:28.784878488,28,301,544
329,2022-06-14 20:24:41.908190818,14,100,344
330,2022-08-29 02:54:15.445544552,47,478,586
331,2022-09-22 13:52:58.757875788,55,458,9
332,2023-11-07 11:07:30.405040504,81,475,280
333,2023-12-24 02:45:54.275427544,52,423,21
334,2023-05-11 05:00:16.201620160,88,567,572
335,2023-07-23 01:40:31.323132312,42,597,55
336,2022-08-21 02:09:54.059405940,9,87,581
337,2022-08-23 06:43:48.982898288,18,650,555
338,2022-05-13 20:57:32.025202520,62,743,152
339,2022-02-13 08:47:31.485148514,37,74,362
340,2022-10-20 18:13:21.440144012,73,165,733
341,2023-09-16 13:19:42.718271824,37,48,89
342,2023-05-03 16:31:49.630963096,28,508,531
343,2023-10-17 17:30:26.462646264,31,151,520
344,2022-06-03 07:34:04.644464446,76,139,15
345,2023-03-12 13:28:38.451845184,89,480,464
346,2023-07-14 16:10:30.783078304,34,936,489
347,2023-05-11 12:00:47.524752472,2,804,560
348,2022-07-16 19:51:51.791179118,69,953,447
349,2022-04-30 00:02:44.176417642,71,968,588
350,2023-11-09 03:25:30.513051304,44,63,667
351,2022-12-14 05:20:43.204320432,75,61,28
352,2023-10-07 05:11:38.829882984,51,331,152
353,2023-01-14 00:45:47.794779476,87,718,255
354,2023-12-10 16:21:53.411341136,56,740,398
355,2023-12-18 13:35:59.135913592,8,573,116
356,2023-07-05 00:53:17.119711968,45,124,658
357,2023-04-24 11:45:22.952295232,82,447,885
358,2022-05-16 10:17:06.102610260,13,730,542
359,2023-08-02 10:29:03.294329432,79,608,883
360,2022-04-13 15:33:30.081008101,4,946,582
361,2023-09-28 05:40:35.643564352,5,527,67
362,2022-04-19 04:43:25.220522052,10,210,893
363,2022-10-21 20:30:18.901890188,97,213,473
364,2022-02-22 03:03:11.179117912,90,768,305
365,2022-03-15 22:57:12.583258326,87,695,556
366,2023-10-22 02:38:16.309630960,46,630,876
367,2023-03-24 23:20:49.684968496,66,834,513
368,2023-12-30 05:56:52.061206120,71,198,298
369,2022-07-03 12:58:06.588658866,36,262,516
370,2022-03-16 07:42:51.737173717,63,583,294
371,2023-04-19 17:51:53.951395136,51,687,360
372,2022-05-18 00:49:58.379837984,69,947,443
373,2023-11-16 15:53:57.083708368,50,558,438
374,2023-09-18 17:53:37.641764176,46,472,365
375,2023-12-04 00:55:00.810081008,5,985,16
376,2022-07-21 10:15:05.130513050,28,987,64
377,2022-08-03 04:52:55.517551756,20,278,174
378,2023-05-11 13:45:55.355535552,9,89,36
379,2022-02-27 21:28:29.810981098,70,414,308
380,2022-01-10 04:46:26.678667866,90,518,384
381,2022-03-17 09:59:49.198919892,15,995,871
382,2023-10-24 14:12:42.556255624,63,775,649
383,2023-04-17 06:17:27.704770472,14,87,93
384,2022-08-13 10:11:11.827182716,58,226,11
385,2023-05-08 08:40:10.801080104,52,159,507
386,2022-08-14 19:28:40.612061204,14,656,534
387,2023-12-09 22:50:35.103510352,66,801,614
388,2022-03-09 21:31:22.628262826,61,75,810
389,2023-01-02 04:54:39.207920792,23,947,388
390,2022-12-25 05:55:25.652565256,58,574,882
391,2023-12-02 03:21:37.209720968,32,393,484
392,2022-03-20 06:19:54.599459946,3,18,163
393,2022-12-13 10:04:17.065706568,96,196,875
394,2022-07-11 10:12:12.313231322,68,254,547
395,2023-10-19 20:19:13.555355536,4,439,737
396,2023-08-05 17:19:55.679567952,88,621,954
397,2023-02-08 12:16:20.738073808,29,596,618
398,2023-09-27 22:40:04.320432040,91,45,995
399,2022-03-12 00:20:09.720972097,98,273,53
400,2023-08-16 16:09:30.297029704,71,234,205
401,2022-04-30 08:48:23.330333032,64,285,986
402,2023-04-27 15:05:59.675967592,64,252,16
403,2022-11-15 14:29:33.537353736,34,714,343
404,2022-10-28 08:26:55.841584156,41,892,924
405,2023-09-30 17:15:01.890189016,68,286,890
406,2022-03-09 18:01:06.966696669,32,530,774
407,2022-10-04 00:58:28.190819080,67,776,312
408,2023-10-23 06:40:21.602160216,8,241,731
409,2022-01-23 23:56:06.696669667,50,468,623
410,2023-05-28 00:00:17.281728168,31,598,491
411,2023-01-31 01:01:12.367236724,13,480,518
412,2022-08-26 17:04:57.029702968,56,180,318
413,2022-09-13 16:07:03.402340232,67,99,654
414,2023-09-23 22:17:53.627362736,74,908,126
415,2023-03-08 09:36:12.097209720,28,618,653
416,2023-10-12 13:06:10.477047704,56,888,31
417,2022-11-18 03:49:07.614761476,84,795,427
418,2022-05-05 11:27:31.485148514,22,340,913
419,2023-11-10 19:43:30.621062104,73,827,224
420,2022-05-10 17:36:55.301530152,26,556,252
421,2022-11-05 12:41:32.889288928,64,390,621
422,2023-02-21 01:38:47.632763276,60,392,353
423,2023-01-08 13:21:00.486048604,97,608,495
424,2023-05-10 18:29:29.216921688,93,214,568
425,2022-10-02 19:11:15.067506748,48,577,829
426,2023-03-15 09:48:43.852385240,45,320,618
427,2022-08-17 17:33:53.843384336,90,494,403
428,2023-08-28 03:14:59.729972992,80,711,294
429,2023-02-25 16:02:00.972097208,20,996,159
430,2022-02-05 01:02:38.775877587,85,533,616
431,2022-02-24 12:52:29.594959496,46,20,766
432,2023-11-10 02:12:12.313231320,78,476,526
433,2023-12-19 21:08:20.090009000,98,577,909
434,2023-03-22 06:30:59.945994600,56,947,428
435,2023-09-09 00:51:16.147614760,9,128,203
436,2022-09-11 13:18:16.309630964,10,133,209
437,2023-07-16 04:58:15.229522952,68,90,247
438,2022-07-06 19:48:58.973897390,84,292,361
439,2023-07-08 04:13:53.843384336,31,799,541
440,2023-08-19 03:43:56.543654360,38,963,847
441,2022-09-19 03:31:50.711071108,85,771,627
442,2022-06-26 21:31:13.987398740,15,737,742
443,2023-02-26 18:18:58.433843384,38,174,546
444,2023-12-12 08:39:53.519351936,99,489,984
445,2022-09-27 11:16:43.420342032,91,331,235
446,2024-01-01 00:00:00.000000000,92,75,744
447,2023-09-22 11:15:17.011701168,81,919,771
448,2023-07-06 03:10:14.581458144,40,439,765
449,2022-05-15 18:30:55.625562556,27,217,66
450,2023-04-15 15:44:35.427542752,49,143,155
451,2022-03-25 08:59:02.754275427,90,777,439
452,2022-12-13 03:03:45.742574256,25,139,411
453,2022-09-13 12:36:47.740774076,97,456,568
454,2023-04-01 18:49:47.578757872,16,864,265
455,2022-03-09 14:30:51.305130513,73,990,875
456,2023-10-25 11:14:16.525652560,72,668,405
457,2022-08-27 07:05:59.675967596,96,259,351
458,2023-02-25 16:02:00.972097208,84,935,189
459,2023-12-15 22:31:17.227722768,1,559,896
460,2022-06-06 17:55:12.691269126,50,659,113
461,2022-08-17 01:47:43.366336632,94,111,33
462,2022-06-17 02:43:44.662466246,7,980,472
463,2022-11-01 19:19:53.519351936,28,462,391
464,2022-10-24 02:49:21.656165616,92,880,977
465,2023-12-04 09:40:39.963996400,65,435,373
466,2022-06-05 08:37:43.906390638,29,819,277
467,2023-03-10 01:54:12.205220520,7,565,860
468,2023-10-22 14:54:11.125112512,25,828,582
469,2022-04-25 16:40:02.160216022,68,321,225
470,2022-03-31 17:25:24.032403240,97,865,494
471,2022-04-29 15:17:05.022502250,46,489,654
472,2022-08-28 04:07:33.645364536,54,531,568
473,2023-03-29 01:28:08.208820880,50,163,690
474,2023-04-18 15:34:56.489648960,30,888,638
475,2023-07-24 17:58:31.431143112,57,752,830
476,2022-05-11 00:37:26.624662466,75,450,781
477,2023-12-11 02:52:40.396039600,7,948,351
478,2022-06-09 16:00:25.922592258,30,518,754
479,2023-02-18 05:18:42.232223220,27,667,612
480,2022-01-23 20:25:51.035103510,6,89,346
481,2023-11-27 23:29:10.855085504,63,403,711
482,2023-06-12 04:27:26.084608456,36,616,438
483,2022-02-18 21:57:26.624662466,77,176,784
484,2023-05-18 03:27:40.126012600,86,495,370
485,2023-11-02 17:14:01.404140416,70,773,48
486,2023-12-10 02:20:50.765076504,98,889,161
487,2023-09-28 14:26:14.797479744,27,750,935
488,2023-11-18 08:11:57.191719168,22,470,84
489,2022-03-12 07:20:41.044104410,10,196,753
490,2022-01-15 03:55:19.171917191,8,926,613
491,2023-11-21 06:17:10.423042304,6,223,783
492,2022-05-29 15:25:43.474347434,28,502,990
493,2023-08-11 17:00:37.803780376,23,111,260
494,2022-10-11 16:57:10.423042304,42,134,819
495,2023-12-22 20:58:41.152115208,50,371,560
496,2022-04-08 19:54:53.249324932,80,199,324
497,2023-03-09 06:37:46.066606656,21,605,935
498,2022-03-09 05:45:12.151215121,46,316,595
499,2022-05-08 07:47:36.885688568,42,610,571
500,2022-03-21 10:21:59.891989199,40,3,954
501,2023-01-02 01:24:23.546354636,53,493,451
502,2023-11-16 07:08:17.929792976,97,846,948
503,2023-08-23 00:35:51.575157512,36,160,352
504,2023-12-19 03:37:01.782178216,16,271,766
505,2022-06-12 22:51:18.307830782,2,762,498
506,2022-10-10 11:09:57.299729972,12,280,752
507,2023-06-14 19:32:07.992799280,87,94,974
508,2023-12-20 18:09:54.059405936,49,203,663
509,2023-01-22 20:46:35.319531952,68,47,826
510,2023-05-20 11:31:50.711071104,49,526,973
511,2023-08-10 16:28:48.172817280,86,990,902
512,2023-03-01 11:08:48.172817280,1,288,227
513,2023-07-06 17:11:17.227722768,40,519,32
514,2022-04-24 03:52:17.713771376,21,672,52
515,2022-06-10 18:17:23.384338434,45,50,253
516,2022-12-16 16:55:09.450945092,93,22,661
517,2023-12-28 13:38:51.953195320,70,8,779
518,2022-07-06 07:33:04.158415842,16,595,988
519,2023-02-14 06:41:39.369936992,1,1,768
520,2022-08-26 03:03:54.383438344,27,386,696
521,2022-07-28 20:58:23.870387040,53,509,193
522,2022-10-13 07:30:02.700270028,1,424,764
523,2022-07-01 01:23:40.342034202,81,154,208
524,2023-11-21 09:47:26.084608456,69,690,387
525,2022-09-15 17:10:42.664266424,64,294,96
526,2022-08-27 01:50:36.183618360,77,135,889
527,2022-09-09 08:44:21.386138612,28,314,213
528,2023-08-31 11:50:59.945994600,6,604,764
529,2023-11-11 11:29:41.098109808,62,202,585
530,2023-12-30 09:27:07.722772272,40,713,418
531,2023-04-05 20:57:06.102610256,77,757,800
532,2022-10-16 19:36:18.577857784,9,575,688
533,2023-07-20 17:36:20.738073808,40,809,994
534,2023-07-23 03:25:39.153915392,45,681,422
535,2022-07-30 16:46:39.639963996,64,245,267
536,2023-04-12 00:08:03.888388840,59,621,652
537,2022-08-27 07:05:59.675967596,41,432,374
538,2023-03-23 22:49:00.054005400,30,263,476
539,2023-07-24 10:58:00.108010800,99,216,826
540,2022-07-15 05:18:59.513951394,76,439,769
541,2022-03-18 01:45:59.675967597,52,283,359
542,2022-08-27 22:52:10.153015300,48,952,700
543,2022-10-29 10:43:53.303330332,77,690,910
544,2023-05-05 00:04:10.585058504,63,319,717
545,2022-12-24 07:08:43.852385236,63,760,411
546,2023-01-04 02:28:02.808280828,23,434,402
547,2023-01-09 22:38:29.270927092,61,972,166
548,2022-12-20 05:01:25.328532852,37,167,970
549,2023-07-22 02:53:49.522952296,10,764,91
550,2022-07-14 06:32:17.713771376,3,748,779
551,2023-02-03 16:37:43.906390636,4,96,474
552,2022-02-25 18:39:42.718271827,26,1,22
553,2022-08-09 01:03:21.980198020,37,458,259
554,2023-06-04 00:12:49.036903688,89,394,523
555,2023-05-31 17:21:56.651665168,38,554,325
556,2023-03-22 10:01:15.607560752,47,653,53
557,2023-06-18 19:54:18.685868584,34,65,536
558,2022-04-05 20:04:32.187218722,86,693,232
